bar_index,control_campaign_id,template_source_id,n_b_assignments,n_targets,analysis_status,prespecified,interval
0,9500000000000000141,1797734879016276096,12,12,postlaunch_descriptive,False,none
1,9500000000000000042,1228266814506156928,10,10,postlaunch_descriptive,False,none
2,9500000000000000610,4089730604499317760,9,9,postlaunch_descriptive,False,none
3,9500000000000000833,6617454235493798272,9,9,postlaunch_descriptive,False,none
4,9500000000000000098,1555179177955997440,8,8,postlaunch_descriptive,False,none
5,9500000000000000786,5687358245544479872,8,8,postlaunch_descriptive,False,none
6,9500000000000000218,2079732192477615360,7,7,postlaunch_descriptive,False,none
7,9500000000000000451,3238056353617774336,7,7,postlaunch_descriptive,False,none
8,9500000000000000477,3347454874365770496,7,7,postlaunch_descriptive,False,none
9,9500000000000000544,3705386281897262848,7,7,postlaunch_descriptive,False,none
10,9500000000000000089,1510467090935595008,6,6,postlaunch_descriptive,False,none
11,9500000000000000259,2260805780286092032,6,6,postlaunch_descriptive,False,none
12,9500000000000000353,2850846184091080576,6,6,postlaunch_descriptive,False,none
13,9500000000000000408,3117810051152885760,6,6,postlaunch_descriptive,False,none
14,9500000000000000458,3277341526122556160,6,6,postlaunch_descriptive,False,none
15,9500000000000000084,1479182789667845376,5,5,postlaunch_descriptive,False,none
16,9500000000000000128,1747832062024486912,5,5,postlaunch_descriptive,False,none
17,9500000000000000286,2466766946939761280,5,5,postlaunch_descriptive,False,none
18,9500000000000000322,2667317799127474944,5,5,postlaunch_descriptive,False,none
19,9500000000000000632,4186494632767123968,5,5,postlaunch_descriptive,False,none
20,9500000000000000695,4517992170175866368,5,5,postlaunch_descriptive,False,none
21,9500000000000000170,1893101535448502400,4,4,postlaunch_descriptive,False,none
22,9500000000000000306,258439731372229120,4,4,postlaunch_descriptive,False,none
23,9500000000000000331,2719012579552367488,4,4,postlaunch_descriptive,False,none
24,9500000000000000387,305256043125603968,4,4,postlaunch_descriptive,False,none
25,9500000000000000409,3118034111008915712,4,4,postlaunch_descriptive,False,none
26,9500000000000000496,3429818633270156416,4,4,postlaunch_descriptive,False,none
27,9500000000000000542,3690323316193465344,4,4,postlaunch_descriptive,False,none
28,9500000000000000601,4002914643768684288,4,4,postlaunch_descriptive,False,none
29,9500000000000000658,4309653752005719424,4,4,postlaunch_descriptive,False,none
30,9500000000000000806,6191268135405788544,4,4,postlaunch_descriptive,False,none
31,9500000000000000049,1261751715280478848,3,3,postlaunch_descriptive,False,none
32,9500000000000000291,2498367529597482496,3,3,postlaunch_descriptive,False,none
33,9500000000000000339,279512833789658752,3,3,postlaunch_descriptive,False,none
34,9500000000000000370,2984906067750284928,3,3,postlaunch_descriptive,False,none
35,9500000000000000383,3040572859699144960,3,3,postlaunch_descriptive,False,none
36,9500000000000000447,323342459647016448,3,3,postlaunch_descriptive,False,none
37,9500000000000000517,3563873702267790080,3,3,postlaunch_descriptive,False,none
38,9500000000000000540,3681220906102862720,3,3,postlaunch_descriptive,False,none
39,9500000000000000602,4009851428268802944,3,3,postlaunch_descriptive,False,none
40,9500000000000000662,4322122179512445568,3,3,postlaunch_descriptive,False,none
41,9500000000000000873,718385060383750784,3,3,postlaunch_descriptive,False,none
42,9500000000000000079,1445074014829920000,2,2,postlaunch_descriptive,False,none
43,9500000000000000156,1844311394160744960,2,2,postlaunch_descriptive,False,none
44,9500000000000000219,2086392484165035136,2,2,postlaunch_descriptive,False,none
45,9500000000000000229,2128767627936545280,2,2,postlaunch_descriptive,False,none
46,9500000000000000234,2155960371551164416,2,2,postlaunch_descriptive,False,none
47,9500000000000000256,2240031951187372928,2,2,postlaunch_descriptive,False,none
48,9500000000000000257,2250247788602155904,2,2,postlaunch_descriptive,False,none
49,9500000000000000326,2679476512239443328,2,2,postlaunch_descriptive,False,none
50,9500000000000000329,2709363196787375488,2,2,postlaunch_descriptive,False,none
51,9500000000000000359,2931529038838835712,2,2,postlaunch_descriptive,False,none
52,9500000000000000369,2970066126811876992,2,2,postlaunch_descriptive,False,none
53,9500000000000000410,3118326134425624320,2,2,postlaunch_descriptive,False,none
54,9500000000000000448,3234830931961892224,2,2,postlaunch_descriptive,False,none
55,9500000000000000491,3414955164503979136,2,2,postlaunch_descriptive,False,none
56,9500000000000000512,3557290342036755200,2,2,postlaunch_descriptive,False,none
57,9500000000000000520,357457350520905216,2,2,postlaunch_descriptive,False,none
58,9500000000000000622,413322333748126592,2,2,postlaunch_descriptive,False,none
59,9500000000000000626,4153618204302689920,2,2,postlaunch_descriptive,False,none
60,9500000000000000674,4417843183603168640,2,2,postlaunch_descriptive,False,none
61,9500000000000000675,4418372534027715968,2,2,postlaunch_descriptive,False,none
62,9500000000000000723,5068764619981087488,2,2,postlaunch_descriptive,False,none
63,9500000000000000758,521232768574387072,2,2,postlaunch_descriptive,False,none
64,9500000000000000783,5671975077144346112,2,2,postlaunch_descriptive,False,none
65,9500000000000000797,582901519620616192,2,2,postlaunch_descriptive,False,none
66,9500000000000000845,6810414746597791360,2,2,postlaunch_descriptive,False,none
67,9500000000000000865,690742208485115520,2,2,postlaunch_descriptive,False,none
68,9500000000000000874,722446385752579840,2,2,postlaunch_descriptive,False,none
69,9500000000000000915,926002203218885504,2,2,postlaunch_descriptive,False,none
70,9500000000000000010,1072975022015600000,1,1,postlaunch_descriptive,False,none
71,9500000000000000059,1336988963803208192,1,1,postlaunch_descriptive,False,none
72,9500000000000000099,1558322303741820928,1,1,postlaunch_descriptive,False,none
73,9500000000000000108,1617418957790376576,1,1,postlaunch_descriptive,False,none
74,9500000000000000155,1840865211187303424,1,1,postlaunch_descriptive,False,none
75,9500000000000000167,187576000803144704,1,1,postlaunch_descriptive,False,none
76,9500000000000000203,2026653131220381824,1,1,postlaunch_descriptive,False,none
77,9500000000000000252,2230104696925290368,1,1,postlaunch_descriptive,False,none
78,9500000000000000332,2719317414856391040,1,1,postlaunch_descriptive,False,none
79,9500000000000000349,2833849800205759360,1,1,postlaunch_descriptive,False,none
80,9500000000000000356,2867203584218146944,1,1,postlaunch_descriptive,False,none
81,9500000000000000376,300940112094402176,1,1,postlaunch_descriptive,False,none
82,9500000000000000433,318552918277214080,1,1,postlaunch_descriptive,False,none
83,9500000000000000446,3230486971974872192,1,1,postlaunch_descriptive,False,none
84,9500000000000000449,3236259854698180480,1,1,postlaunch_descriptive,False,none
85,9500000000000000463,3312002496315376640,1,1,postlaunch_descriptive,False,none
86,9500000000000000467,3321431014682434176,1,1,postlaunch_descriptive,False,none
87,9500000000000000472,3333971597632801920,1,1,postlaunch_descriptive,False,none
88,9500000000000000474,3341996555048041856,1,1,postlaunch_descriptive,False,none
89,9500000000000000490,3410706892092688256,1,1,postlaunch_descriptive,False,none
90,9500000000000000558,3759364193922337152,1,1,postlaunch_descriptive,False,none
91,9500000000000000585,3897445571422443904,1,1,postlaunch_descriptive,False,none
92,9500000000000000627,4154963942133386880,1,1,postlaunch_descriptive,False,none
93,9500000000000000642,4235280071072332672,1,1,postlaunch_descriptive,False,none
